"Death/100,000",Percentage of drivers with penalty points
1.492456418,19.41
1.706542885,23.19
1.757546465,18.14
3.12811182,20.79
3.254758049,17.69
3.662198784,19.77
3.723978699,17.57
3.853326962,17.88
4.099312682,17.72
4.192037225,20.07
4.391100703,22.71
4.592844349,14.57
4.816955684,18.85
4.88771825,21
5.128205128,21.79
5.186452985,17.11
5.802887517,20.75
6.243658784,21.08
6.289703755,20.45
6.52000991,17.79
7.132260641,22.61
7.558864659,18.26
7.646078326,19.74
8.067669126,13.8
8.934585092,15.91
13.22685713,14.05
